Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-5619063,"Defective SLC29A3 causes histiocytosis-lymphadenopathy plus syndrome (HLAS)",8,8,5.118362124120282E-4,2.3324661100332378E-6,0.0026754466052836268,1,1,6.666666666666667E-5,9606,Homo sapiens,"17596;16708;16750;17562;17748;16335;16704;17964","","R-HSA-5628807"
R-HSA-444209,"Free fatty acid receptors",14,29,0.0018554062699936021,2.7956599846223895E-6,0.0026754466052836268,5,5,3.333333333333333E-4,9606,Homo sapiens,"16196;15366;30805;28875;28716;42504;28661;28364;53460;27432;34146;53486;53487;30768","","R-HSA-3296304;R-HSA-444047;R-HSA-444191;R-HSA-444202;R-HSA-444171"
R-HSA-400508,"Incretin synthesis, secretion, and inactivation",18,51,0.0032629558541266796,8.697850770067461E-6,0.0053676615511397685,10,15,0.001,9606,Homo sapiens,"25858;16196;71466;15355;30805;28875;28716;42504;28661;28364;2668;53460;27432;28972;53486;53487;16104;12387","","R-HSA-381799;R-HSA-400500;R-HSA-381798;R-HSA-383313;R-HSA-400496;R-HSA-9023633;R-HSA-9023632;R-HSA-400509;R-HSA-400459;R-HSA-421416"
R-HSA-381771,"Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)",17,47,0.0030070377479206652,1.12294174710037E-5,0.0053676615511397685,7,8,5.333333333333334E-4,9606,Homo sapiens,"25858;16196;71466;15355;30805;28875;28716;42504;28661;28364;2668;53460;27432;28972;53486;53487;12387","","R-HSA-381799;R-HSA-381798;R-HSA-383313;R-HSA-9023633;R-HSA-9023632;R-HSA-400459;R-HSA-421416"
R-HSA-83936,"Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane",13,33,0.002111324376199616,5.019964516961295E-5,0.019176264454792147,11,16,0.0010666666666666667,9606,Homo sapiens,"17596;17368;16235;16750;17562;16040;16708;17748;16335;17964;17821;16704;17568","","R-HSA-109536;R-HSA-109539;R-HSA-109538;R-HSA-727768;R-HSA-109527;R-HSA-727740;R-HSA-109529;R-HSA-109530;R-HSA-727767;R-HSA-727749;R-HSA-109534"
R-HSA-196071,"Metabolism of steroid hormones",19,75,0.0047984644913627635,3.687812438512017E-4,0.11764121678853334,36,43,0.0028666666666666667,9606,Homo sapiens,"16330;17026;16581;15487;16422;15486;16113;17263;17252;17650;189724;28689;16827;28324;27584;16469;16962;16973;17347;2869","","R-HSA-1449687;R-HSA-6810594;R-HSA-193995;R-HSA-193099;R-HSA-193097;R-HSA-193996;R-HSA-193997;R-HSA-193101;R-HSA-5693390;R-HSA-469659;R-HSA-193054;R-HSA-196126;R-HSA-193052;R-HSA-5696822;R-HSA-8951850;R-HSA-194017;R-HSA-194023;R-HSA-9705713;R-HSA-804969;R-HSA-193060;R-HSA-9705714;R-HSA-193064;R-HSA-194025;R-HSA-193961;R-HSA-193070;R-HSA-193964;R-HSA-193068;R-HSA-193965;R-HSA-193072;R-HSA-193073;R-HSA-196086;R-HSA-193143;R-HSA-194036;R-HSA-196350;R-HSA-8862137;R-HSA-193981"
R-HSA-2980736,"Peptide hormone metabolism",26,129,0.008253358925143953,0.0010812252087887275,0.2725705731598832,29,64,0.004266666666666667,9606,Homo sapiens,"16196;71466;17380;28875;28716;28837;42504;2668;28595;53460;28972;53486;53487;17750;16000;25858;15355;30805;16322;28645;28661;28364;27432;16325;16104;12387","","R-HSA-9023178;R-HSA-265153;R-HSA-9023171;R-HSA-265160;R-HSA-9023173;R-HSA-400459;R-HSA-383313;R-HSA-264976;R-HSA-9023196;R-HSA-9023633;R-HSA-9023632;R-HSA-378975;R-HSA-265177;R-HSA-422104;R-HSA-264997;R-HSA-381799;R-HSA-2022396;R-HSA-381798;R-HSA-422051;R-HSA-422048;R-HSA-421416;R-HSA-9023163;R-HSA-9817575;R-HSA-400500;R-HSA-400496;R-HSA-265010;R-HSA-400509;R-HSA-2022368;R-HSA-9023159"
R-HSA-425397,"Transport of vitamins, nucleosides, and related molecules",23,109,0.006973768394113884,0.0011404626492045322,0.2725705731598832,18,40,0.0026666666666666666,9606,Homo sapiens,"17596;16196;17368;16235;30805;17351;16750;17474;17562;18332;28822;28875;16040;16708;16525;17748;16335;37657;17964;17821;15956;16704;17568","","R-HSA-109536;R-HSA-9631987;R-HSA-109539;R-HSA-109538;R-HSA-879562;R-HSA-429581;R-HSA-879585;R-HSA-879584;R-HSA-727749;R-HSA-194130;R-HSA-727768;R-HSA-109527;R-HSA-727740;R-HSA-109529;R-HSA-879575;R-HSA-109530;R-HSA-727767;R-HSA-109534"
R-HSA-9735804,"Diseases of nucleotide metabolism",7,17,0.0010876519513755597,0.002075118464532566,0.439925114480904,5,5,3.333333333333333E-4,9606,Homo sapiens,"17596;16708;17368;16235;16750;17172;16335","","R-HSA-9734193;R-HSA-9734274;R-HSA-9735789;R-HSA-9735775;R-HSA-9734745"
R-HSA-5619108,"Defective SLC27A4 causes ichthyosis prematurity syndrome (IPS)",5,10,6.397952655150352E-4,0.003957519905647411,0.7558863019786555,1,1,6.666666666666667E-5,9606,Homo sapiens,"16196;30805;17351;28822;28875","","R-HSA-5627891"
