"color","coverage","label","name","Root","RootCol","RootName","selected","shared name"
"#f77467","0.0","Apoptosis","Apoptosis","R-HSA-5357801","#f77467","Programmed Cell Death","false","Apoptosis"
"#f77467","0.0","Intrinsic Pathway for Apoptosis","Intrinsic Pathway for Apoptosis","R-HSA-5357801","#f77467","Programmed Cell Death","false","Intrinsic Pathway for Apoptosis"
"#f77467","0.0","Regulation of Apoptosis","Regulation of Apoptosis","R-HSA-5357801","#f77467","Programmed Cell Death","false","Regulation of Apoptosis"
"#f77467","0.0","Caspase activation via extrinsic apoptotic signalling pathway","Caspase activation via extrinsic apoptotic signalling pathway","R-HSA-5357801","#f77467","Programmed Cell Death","false","Caspase activation via extrinsic apoptotic signalling pathway"
"#f77467","0.0","Apoptotic execution phase","Apoptotic execution phase","R-HSA-5357801","#f77467","Programmed Cell Death","false","Apoptotic execution phase"
"#ab89f4","0.0125","Hemostasis","Hemostasis","R-HSA-109582","#ab89f4","Hemostasis","false","Hemostasis"
"#ab89f4","0.0","Formation of Fibrin Clot (Clotting Cascade)","Formation of Fibrin Clot (Clotting Cascade)","R-HSA-109582","#ab89f4","Hemostasis","false","Formation of Fibrin Clot (Clotting Cascade)"
"#ab89f4","0.0","Cell surface interactions at the vascular wall","Cell surface interactions at the vascular wall","R-HSA-109582","#ab89f4","Hemostasis","false","Cell surface interactions at the vascular wall"
"#ab89f4","0.03125","Platelet homeostasis","Platelet homeostasis","R-HSA-109582","#ab89f4","Hemostasis","false","Platelet homeostasis"
"#ab89f4","0.0","Dissolution of Fibrin Clot","Dissolution of Fibrin Clot","R-HSA-109582","#ab89f4","Hemostasis","false","Dissolution of Fibrin Clot"
"#ab89f4","0.0","Platelet Adhesion to exposed collagen","Platelet Adhesion to exposed collagen","R-HSA-109582","#ab89f4","Hemostasis","false","Platelet Adhesion to exposed collagen"
"#ab89f4","0.03125","Platelet activation, signaling and aggregation","Platelet activation, signaling and aggregation","R-HSA-109582","#ab89f4","Hemostasis","false","Platelet activation, signaling and aggregation"
"#ab89f4","0.0","Factors involved in megakaryocyte development and platelet production","Factors involved in megakaryocyte development and platelet production","R-HSA-109582","#ab89f4","Hemostasis","false","Factors involved in megakaryocyte development and platelet production"
"#f77467",,,"R-HSA-111452","R-HSA-5357801","#f77467","Programmed Cell Death","false","R-HSA-111452"
"#f77467",,"BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members","BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members","R-HSA-5357801","#f77467","Programmed Cell Death","false","BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members"
"#f77467","0.0","Apoptotic factor-mediated response","Apoptotic factor-mediated response","R-HSA-5357801","#f77467","Programmed Cell Death","false","Apoptotic factor-mediated response"
"#f77467",,,"R-HSA-114294","R-HSA-5357801","#f77467","Programmed Cell Death","false","R-HSA-114294"
"#f77467","0.0","Activation of BH3-only proteins","Activation of BH3-only proteins","R-HSA-5357801","#f77467","Programmed Cell Death","false","Activation of BH3-only proteins"
"#f77467",,,"R-HSA-75108","R-HSA-5357801","#f77467","Programmed Cell Death","false","R-HSA-75108"
"#c77df4","0.0","PKB-mediated events","PKB-mediated events","R-HSA-162582","#c77df4","Signal Transduction","false","PKB-mediated events"
"#c77df4","0.0","PDE3B signalling","PDE3B signalling","R-HSA-162582","#c77df4","Signal Transduction","false","PDE3B signalling"
"#c77df4","0.0","PI3K Cascade","PI3K Cascade","R-HSA-162582","#c77df4","Signal Transduction","false","PI3K Cascade"
"#c77df4","0.0","Activation of AKT2","Activation of AKT2","R-HSA-162582","#c77df4","Signal Transduction","false","Activation of AKT2"
"#e36bf4","0.0","Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template","Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template","R-HSA-73894","#e36bf4","DNA Repair","false","Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template"
"#e36bf4","0.0","Translesion synthesis by REV1","Translesion synthesis by REV1","R-HSA-73894","#e36bf4","DNA Repair","false","Translesion synthesis by REV1"
"#e36bf4","0.0","Translesion Synthesis by POLH","Translesion Synthesis by POLH","R-HSA-73894","#e36bf4","DNA Repair","false","Translesion Synthesis by POLH"
"#e36bf4","0.0","Translesion synthesis by POLK","Translesion synthesis by POLK","R-HSA-73894","#e36bf4","DNA Repair","false","Translesion synthesis by POLK"
"#e36bf4","0.0","Translesion synthesis by POLI","Translesion synthesis by POLI","R-HSA-73894","#e36bf4","DNA Repair","false","Translesion synthesis by POLI"
"#e36bf4","0.0","Termination of translesion DNA synthesis","Termination of translesion DNA synthesis","R-HSA-73894","#e36bf4","DNA Repair","false","Termination of translesion DNA synthesis"
"#e36bf4","0.16666666666666666","Resolution of AP sites via the multiple-nucleotide patch replacement pathway","Resolution of AP sites via the multiple-nucleotide patch replacement pathway","R-HSA-73894","#e36bf4","DNA Repair","false","Resolution of AP sites via the multiple-nucleotide patch replacement pathway"
